group,Open_report typo-corrected
meditation,There is a fundamental concept in Buddhism called anicca regarded as a basic truth of all things. To me it means change. The experiencing of all things changing is transforming. I woke up to experiencing my entire mind body phenomenon changing on every moment. Since then this experience has become routine. With it comes a letting go of past suppressive habits and instead a fluidity and serenity is there.
meditation,I developed all positive feelings. All thoughts in my mind looked like they were visible on a screen and I could for the first time in my life feel the bliss.
meditation,"I had recently lost my father unexpectedly. A month after his funeral I attended an empowerment and retreat for a ngondro that involved meditating on the 4 thoughts that turn the mind. I spent an entire weekend in meditating on death, impermanence, and the rarity or preciousness of a human rebirth. It broke me down to a grief stricken mess that on the other end helped me move forward through me grief. This meditation was then followed by an empowerment and teaching on beginning Dzogchen that led to first an existential crisis and then a freedom."
meditation,"There was an objective experience of the self (i.e. I, you, me, my) ""voice"" or ""mind-factor"" being a separate entity within the conscious experience for the first time in life. Then progressively over the retreat, the mind slowly detached from past and future experiences. It slowly started to become detached from the mind (finding dissatisfaction with the body). Eventually there was an ""unbinding"" from the body. Then there was an experience beyond both mind and matter. This mental state was experienced 1x in the afternoon, and then was repeated a second time the next day (i.e. it was repeatable using the same technique). It was a state that needs to be experienced in order to give it justice."
meditation,"Deep abiding peace with understanding of the impermanence of all experience. Calming of thought patterns, steadiness of concentration. Expansion of consciousness, cessation of all anxiety about existence."
meditation,Silence of mind and timelessness
meditation,"I was able to see Buddha seated in a grassy area, surrounded by trees and gemstones, like lapiz lazuli. There was a clear pond in front. It was a bright day. The sun was really shining bright. However, I began to have some thoughts like thoughts of people getting out of a building, some other thoughts I cannot remember. I did lose my focus sometimes in the middle."
meditation,"We know other people for many years and we gather together . We are nine persons this time  There where four men Jeku, Väkä, Häkä and Peter And five ladies Lena ,Pirkko Birgit and Anna , Tina All we have different education birthplaces - towns,different expectation "" different levels of intelligence"", some are married some are singles some have children some not Thema for this time was g o o d life and our experiences ,how we are living our life now after many years"" practising this raja yoga Finnish way"" We always start with music this time with very fine light piano music and we everyone told a bit our own experiences This was idea of our most experienced "" philosopher"" HE was the "" speaker"" I feel always to be ""more conscious ""awareness in and after the meeting I have different state of mind after this meeting..much stronger and happier"
meditation,"First, your survey structure is likely to miss many meaningful experiences because it assumes that meditation experiences are similar to drug experiences with some practice/duration as the substance/dosage. But meditation experiences aren't really like that — sure, there are discrete moments where things come clearer, or some experience of bliss suffuse the body, or imagery fills the mind. But the transformative part is really the slow chipping away. The fireworks are fun, but over the 15+ years that I've been meditating, I've learned that they're mostly a pleasant distraction. And that’s because, at least in the traditions I work in, the higher realizations are fully non-conceptual and non-phenomenal. So I've had a bunch of discrete experiences that might sound sound really exciting and meaningful. But the really powerful transformations have not been due to discrete moments, but continuous proactive. My experience is that I was laying in bed, reading a book on Dzogchen. I had been meditating very regularly for the previous 8 months, usually at least twice a day for 20-40 minutes a session. I had been practicing mostly shamatha meditation on the breath, and without an object. I had also been reading a lot of books on Dzogchen, and has been practicing a great deal of “looking for the looker” kinds of practices. As I laid in bed, I read for the umpteenth time that mind essence is empty and cognizant and unlimited. I looked up at the ceiling to see whether it was like that. Suddenly, for the first time, I saw that the subject is absent, yet bright and comprehending. Totally absent in every way, yet somehow everywhere present, like a fifth dimension slicing through everything but without any characteristics whatsoever. Anyway, it was suddenly just clear, like the subject side was just this openness. Nothing changed. And I had a sense of Champagne bubbles rising up in my heart. That was it. As I checked again and again over the following days, the power and veracity of this realization persisted, even depended. And over the last 1.5 years, it’s deepened progressively and the result is sense of freedom and spontaneous joy in the midst of phenomena. Amazing!"
meditation,"I felt all thinking was still there, but it was behind my back and I could stay resting in mind, or as it is sometimes put - resting in the natural state of mind. There was experiential layer to this as well, and it was twofold: something that could be described as 1) heaven (vast, uplifted, tranquil, pure and blissful), and also 2) not so specified, more basic, or something that feels like being in contact with base. I have had this several times when I meditate more (4-10 hours per day, then it comes in one of the meditation sessions). I was doing odo visualization with less actual visual part, but more just being present in the atmosphere of the story. I did several odo meditations, the story in this one was: there was a rainbow coloured gem and it radiated rainbow light transforming earth to rainbow colours. Rainbow coloured flowers grew from the earth and they formed a new level over earth, then more grew and there became level after level. ""The bearer of light"" climbed from level to level (we identify with the bearer when doing this) and then they stood on a festive canopy for a moment, before turning to rainbow light oneself too. (Odo is a Finnish tradition from 1980 with connections to Tibetan Buddhist types of thinking, there is some info on webpage odonet.fi)."
meditation,"It's really simple. I remember the time when I realized the importance of breath work. I had used breathing techniques prior for my own pain, for calming & shared with clients, students and my own child. We talked about the time between the in and out breath. I became more curious about using breath work for a variety of physical & mental health issues. So far so good!"
meditation,"It is very difficult to say which of the meditation experiences is the most meaningful since the whole point of meditation (Vipassana) is not to rate the experiences, just observe sensations in the body and thought that come and go. The practice is simply scanning the body from head to toe. First I was thinking about picking a moment from a vipassana meditation retreat (silent 10 days) but maybe the most meaningful moment is when I learned to use the meditation technique during my sleep paralyzes that I have suffered from since approximately 8 years old. Since you asked about an experience in a facilitated setting I first say that I took part in a 10 day silent Vipassana retreat, there were volunteers and a teacher and many 50 other people, we work up very early and meditated maby 10 hours a day with brakes of course, in a hall with pillows and blankets. For me the sitting was very very painful. My back was in so much pain. But there was moments when despite the uncomfortable feelings, I got so into the detailed experiences, the sensations in my own body that I felt very good. The experience get so nuanced and becomes so interesting and the senses sort of open up or get trained for noticing. It is very difficult to cut apart one experience from another. I just started to pay so much attention to details to sounds to textures… that the thing that first felt boring and painful started to feel something much more too. When starting to pay attention to ”I am tired” in a meditation for example… what does it mean, the little muscles behind my eyes feel sore, some pressure in my temples and neck and so on. Or the pain in my back. I could observe it very closely, how the pain moves, the warmness of the muscles, tightness. And often by paying attention the pain dissolves, it felt like massage. In there I really felt the mind and body connection. When I am not present, the body remembers it… and it remembers and carries also emotions. So about the setting. I had my own pillow and place next to so many others, we were advised not to talk or take eye contact so that we could fully concentrate, every now and the the teacher that was always sitting silently in the front would check if we are able to move our attention from one body part to another. He just asked this and we said yes or no. For me personally he advised not to control my breathing since I was forcing it like in Ashtanga yoga because i thought i could avoid the pain in my back somehow by doing that. I am healthy and there is nothing wrong in my back I have to sat by the way. The pain was somehow more like some stored trauma or something I don't even know.  Then about the sleeping paralyzes: The feeling in those sleep paralyzes (unihalvaus) is a complete fear of death, I cant move and somebody is sitting on my chest or entering the room trying to kill me, it’s pure terror and at those moments one can't really reason that it is just a dream. I had this unihalvaus again since a very early age and I was 29 at the time when this happened. I was in my apartment in a safe environment sleeping with my boyfriend and my dog. I had the experience that i was paralyzed, I couldn't move or ask for help. Always a similar scenario happens, Dream gets mixed up with reality and i feel as if someone is entering the door and attacking me. So it was this time, i don't recognize the Person attacking in the dream that feels reality. In the middle of it I somehow remembered the meditation technique and started to focus on my breathing or the sensations on my face when the air moves. In a split second the ”attack” or unihalvaus ended and I could move again and completely wake up. The strange thing is I never had unihalvaus after that again and i have had those regularly as long as I remember. The key feeling in that moment was surrendering of acceptance of what is happening. It is very hard to do and to explain to anyone who hasn't had a unihalvaus, cause in that moment it really feels like someone is trying to kill you, it is so real, it is so realistic. In that moment meditation is a risk, and it feels like risking your life, cause you can not now whether you really are getting killed. That is often something people without this experience seem to undermine.I felt so good that I was able to mediate in that moment. And I never have had that unihalvaus experience again. Later I thought unihalvaus is like a bodily trauma that is trapped in, maybe something unconscious. I know the official explanations too, but that's how i feel."
meditation,"The 'Experience' happened not as a one-off but, I see now, in stages: build-up_ bursting forth_ receding_ re-opening... At the time, I did not understand what was going on for me & it was painful, scary, overwhelming, exciting, meaningful, confusing... Build-Up: For some time (months?) I had been practising the Jesus Prayer with a somatic attention on my heart area. Then I went on a working pilgrimage to Mt. Athos (home of the Prayer) & was able to maintain a much greater continuity of practice without ceasing. Over time, this heart area (centre of my chest) was beginning to hurt & ache - drawing my attention increasingly. As I practised, I self-developed a more total, holistic approach & understanding of the prayer: somatic - body awareness_ humility - surrendering myself before Christ_ heartful - longing for the Divine, loving_ mindful - always attentive & chanting silently... During the pilgrimage, many surprising, lucky - what I would call blessed - opportunities & synchronicities started happening to me. I felt that I was being guided by mystical, good beings (EG: a friend monk who had recently died)... Upon my return to the UK, this continued from time to time, but otherwise my life was quite normal & my behaviour not-so-different (not more 'Holy!'), & with much less prayer/practice. But, when I tried to bend the truth a little, or lie, or be mean, it hurt in my heart area & I couldn't really carry it out. Prior to this time, by the way, I had tried to get to grips with this practice & never really developed an effective relationship with it. Soon, I went on a Theravada Buddhist meditation retreat (mindfulness/vipassana), as normal. During that retreat, I practised diligently, letting go of the Christian Jesus Prayer & instead focussing on 'Buddhist' mindfulness, but realising that I still needed to bring my attention, as unceasingly as possible, to my heart-area. Now I began to develop the 'neti neti' practice of 'not this_ not this': continuously letting go of identification with any experience. Ceasing to grasp anything. I realised much later that this was a crucial stage in what happened to me. Many insights & experiences happened (for example uncontrollable joy spilling forth, creative flow, less need for sleep, etc). These kinds of experiences I am used to in retreats, but it was immediately following the retreat that was so exceptional. So much happened & the circumstances rather complicated (I began an ill-advised romantic relationship with a fellow retreatant!), that I cannot explain it all in detail here. However, in summary: Bursting forth (over about 48 hrs): At first, I had no need for sleep. I think I was awake the whole night, full of energy. I was super emotionally open, trusting, barrierless (hence the rapid relationship). I was incredibly creative & in flow-state: I was giving a presentation to a school & spontaneously made it rhyme. I felt that I connected with the children in the audience in a deep & direct way: when I looked into their eyes, I saw their 'old souls in young bodies'. They, & many people were very drawn to me. I was healing deep emotional wounds (eg. in a conversation with colleagues). All of this was mostly enjoyable, positive, light experience. What was most disconcerting, though, was taking the busy London Underground across the city, dealing with crowds & finding that their thoughts and feelings were entering into me. I could feel what they were feeling & thinking. Extreme empathy, if you like. But, it was uncontrollable & overwhelming, coming as it was from all directions. Desperate, I eventually escaped to another friend's house & had to lie down for some hours, grounding myself. Receding: The intensity of the heart-pain, empathy/mind-reading, energetic states, etc began to recede with time, but fluctuating. I was scared after that intense bursting forth in London (I had returned to my small town in the countryside). I wanted to ground & not escalate. I was looking for answers as to what was going on for me (for a long time before & after the last stage), but didn't find them from any of the spiritual teachers I consulted. None of them seemed to understand/recognise my 'spiritual symptoms', which was very disappointing. I didn't know what I was supposed to 'do' with any of this. Apart from outright mystical experiences, I was just the same: no more holy/good/evolved/wise! How should I continue to practice with these sensations?... Gradually, normal busy life took over again & the synchronicities/guidance, heightened empathy/sensitivity, etc. mostly receded. I put the 'Experience' down to what Hindus call Heart Chakra opening, but I still didn't have many answers. I worried less that I was having a heart attack! Re-Opening: However, about 2(?) years later, I went on another Buddhist meditation retreat & again focussed my attention on my heart area. After that retreat, I continued to practice my own kind of mindful, heart-focussed, deep relaxation, letting go meditation. My heart would release so much heat that I would get pronounced red handprints on my chest whilst leaving my hands to rest there (I have photos). Again, the empathy, intuitiveness, peace, etc re-emerged - but less intensely this time. It still definitely felt like a continuation / re-opening, though, rather than any 'new' experience. Still seeking clearer, fuller answers, finally a meditator friend recommended the book 'A Path with Heart', by Jack Kornfield. Here was the fullest explanation & guidance that I had been seeking! It made total sense & accurately described my experiences. For that, I will always be grateful. Years later, I feel that if I was to continue the practices diligently enough, those experiences would be accessible to me again. However, I am not searching for 'mystical' experiences & understand better now that they alone do not make a wise, nor Holy life..."
meditation,"My meditation experienced happened during a 3 weeks self retreat that I did in a retreats center in Israel. In this retreat I practiced Anatta, with Vipassana practice I was practicing to watch how the self is constructed. I think the experience was around the middle of the retreat, it was the end of the summer, the weather was very nice, and it was during my evening meditation. I did the meditation outside, in the open air, surrounding by trees & open skies with stars, and the sound of crickets around me. I started a mindfulness meditation, starting with being aware of the breath, and moving on to the sound surround me. as the meditation got deeper, the body was more relaxed and ease, I added to the practice the Anatta view - only sound (without I'm hearing the sound), staying in this state I stated to feel that I'm one with nature, with the sounds around me, I felt that there's no separation between me and the world. This was an amazing feeling, to understand and feel for some moments what is the nonduality that the practice is talking about,"
